URL,Hotel Name,Is New,Total Rating,Price,Original Price,Discount,Hotel ID
https://www.oyorooms.com/49840,Super OYO Hotel Vaishali,0,880 Ratings,₹1190,₹3694,67% off,49840
https://www.oyorooms.com/73885,OYO 45569 Goyal's Inn,0,35 Ratings,₹611,₹2696,77% off,73885
https://www.oyorooms.com/74447,OYO 45999 Tulsi Palace,1,,₹1167,₹3625,67% off,74447
https://www.oyorooms.com/7874,OYO Hotel Ganpati Plaza,0,1134 Ratings,₹1172,₹3639,67% off,7874
https://www.oyorooms.com/89630,SPOT ON Nanki Palace,1,,₹668,₹2074,67% off,89630
https://www.oyorooms.com/103871,OYO 73882 Supreme Beach Resort,0,177 Ratings,₹2422,₹6919,64% off,103871
https://www.oyorooms.com/115355,OYO Flagship 83172 Royal Rooms,0,7 Ratings,₹1028,₹2938,65% off,115355
https://www.oyorooms.com/193588,Flagship South Fort Inn,0,171 Ratings,₹1087,₹3538,69% off,193588
https://www.oyorooms.com/208527,OYO Flagship 811302 Palm Stay,0,32 Ratings,₹1224,₹3799,67% off,208527
https://www.oyorooms.com/210482,Collection O 812374 Remanso Resort,0,17 Ratings,₹982,₹3049,67% off,210482
https://www.oyorooms.com/212112,OYO Flagship 813297 Dwaraka Homestays,0,4 Ratings,₹1670,₹4771,64% off,212112
https://www.oyorooms.com/212604,OYO Flagship 813577 Shade Tourist Home,0,1 Ratings,₹1190,₹3882,69% off,212604
https://www.oyorooms.com/212619,OYO Flagship 813591 Xanadu Marari Villa,0,1 Ratings,₹1429,₹4082,64% off,212619
https://www.oyorooms.com/162889,OYO Flagship 84379 York Inn,0,113 Ratings,₹1441,₹4475,67% off,162889
https://www.oyorooms.com/176608,OYO R&B Villa Nagaon,0,41 Ratings,₹2649,₹7668,65% off,176608
https://www.oyorooms.com/193016,"SPOT ON Nisarga De Farm, Alibaug",1,,₹1348,₹4568,70% off,193016
https://www.oyorooms.com/202617,Collection O Shovi Beach View Resort,0,106 Ratings,₹1670,₹5186,67% off,202617
https://www.oyorooms.com/203990,SPOT ON 808551 Neeta Hill Resort,0,4 Ratings,₹1102,₹3762,70% off,203990
https://www.oyorooms.com/210350,SPOT ON 812297 Saraswati Krupa Holiday Homes,0,7 Ratings,₹663,₹2152,69% off,210350
https://www.oyorooms.com/37701,Collection O Raghusheela Cottage,0,78 Ratings,₹2550,₹7285,64% off,37701
https://www.oyorooms.com/43439,OYO Muktai Nest,0,58 Ratings,₹2689,₹7682,64% off,43439
https://www.oyorooms.com/109402,Capital O Kanha Resort,0,189 Ratings,₹627,₹2041,69% off,109402
https://www.oyorooms.com/112765,OYO 80924 Hotel Shanti Lodge,0,96 Ratings,₹854,₹2651,67% off,112765
https://www.oyorooms.com/155767,OYO Flagship Surprise Farm House,0,350 Ratings,₹572,₹2366,75% off,155767
https://www.oyorooms.com/161125,Super OYO Hotel Welcome,0,300 Ratings,₹917,₹2847,67% off,161125
https://www.oyorooms.com/172765,OYO D. R Hotel & Restaurant,0,73 Ratings,₹576,₹2523,77% off,172765
https://www.oyorooms.com/184007,OYO 90394 Hotel New Sweet Dream,0,54 Ratings,₹572,₹1775,67% off,184007
https://www.oyorooms.com/191598,OYO Hotel White House,0,19 Ratings,₹572,₹2378,75% off,191598
https://www.oyorooms.com/194280,OYO Hotel The Grand Shyoraj,0,19 Ratings,₹576,₹2469,76% off,194280
https://www.oyorooms.com/202963,OYO 808054 The Villager's Residency,0,78 Ratings,₹576,₹2185,73% off,202963
https://www.oyorooms.com/207917,OYO 810903 Hotel Ml Residency,1,,₹576,₹2219,74% off,207917
https://www.oyorooms.com/212391,OYO 813437 The Ceremony Banquet & Restaurant,0,2 Ratings,₹676,₹1931,64% off,212391
https://www.oyorooms.com/61343,SPOT ON Hotel Anand Bhawan,0,360 Ratings,₹460,₹1987,76% off,61343
https://www.oyorooms.com/192841,Capital O Jaldapara Jungle Eco Resort,0,18 Ratings,₹1068,₹3618,70% off,192841
https://www.oyorooms.com/78744,OYO Hotel Chitra,0,66 Ratings,₹752,₹2228,66% off,78744
https://www.oyorooms.com/79813,OYO Flagship 49649 RESORT SANGHURI BHANGANG,0,1 Ratings,₹1028,₹2938,65% off,79813
https://www.oyorooms.com/81665,OYO Sandhana Homestay,0,40 Ratings,₹1071,₹3485,69% off,81665
https://www.oyorooms.com/84081,OYO RELAX HOME STAY,1,,₹701,₹3098,77% off,84081
https://www.oyorooms.com/109893,OYO Flagship 78592 Anand Home stay Jageshwar,0,10 Ratings,₹1961,₹5602,64% off,109893
https://www.oyorooms.com/197933,OYO Flagship 804787 Jai Shiv Shakti Guest House,0,10 Ratings,₹2204,₹6297,64% off,197933
https://www.oyorooms.com/211540,OYO Flagship 812948 Saantanaa Villa Homes,0,1 Ratings,₹1961,₹5602,64% off,211540
https://www.oyorooms.com/176649,OYO Royal Galaxy Hotel,1,,₹499,₹2038,75% off,176649
https://www.oyorooms.com/209635,OYO 811887 SS Hotel,0,6 Ratings,₹720,₹2058,65% off,209635
https://www.oyorooms.com/203140,OYO Flagship Dhruva Residency,1,,₹949,₹2711,64% off,203140
